SUBJECT,COURSE_NUMBER,NAME,UNIT_COUNT
EAE,099,Special Study for Undergraduates,1-5 units
EAE,127,Applied Aircraft Aerodynamics,4 units
EAE,130A,Aircraft Performance & Design,4 units
EAE,130B,Aircraft Performance & Design,4 units
EAE,135,Aerospace Structures,4 units
EAE,137,Structural Composites,4 units
EAE,138,Aircraft Propulsion,4 units
EAE,140,Rocket Propulsion,4 units
EAE,142,Orbital Mechanics,4 units
EAE,143A,Space Vehicle Design,4 units
EAE,143B,Space Mission Design,4 units
EAE,198,Directed Group Study,1-5 units
AAS,010,African-American Culture & Society,4 units
AAS,012,Introduction to African Studies,4 units
AAS,016,Verbal & Performance Arts in Africa,4 units
AAS,017,Women in African Societies,4 units
AAS,018,Introduction to Caribbean Studies,4 units
AAS,050,Black Popular Culture,4 units
AAS,051,History of Afro American Dance,4 units
AAS,052,African Traditional Religion,4 units
AAS,053,Black California,4 units
AAS,080,Introduction to Black Politics,4 units
AAS,099,Special Study for Undergraduates,1-5 units
AAS,100,Survey of Ethnicity in the US,4 units
AAS,110,West African Social Organization,4 units
AAS,116,Presidential Politics in Africa,4 units
AAS,133,The Black Family In America,4 units
AAS,145A,Black Social & Political Thought,4 units
AAS,145B,Black Intellectuals,4 units
AAS,153,African Literature,4 units
AAS,157,Literature & Society in South Africa,4 units
AAS,160,African-American Folklore,4 units
AAS,162,Islam in Africa & the Americas,4 units
AAS,163,African Religions in the Americas,4 units
AAS,170,African-American Film & Video,4 units
AAS,172,Diaspora & New Black Identities,4 units
AAS,175B,Black Documentary Practicum,4 units
AAS,176,The Politics of Resources,4 units
AAS,177,Politics of Life in Africa,4 units
AAS,178,African Modernity & Globalization,4 units
AAS,180,Race & Ethnicity in Latin America,4 units
AAS,181,Hip Hop in Urban America,4 units
AAS,182,Hip Hop Culture & Globalization,4 units
AAS,185,Topics in African American Film,4 units
AAS,198,Directed Group Study,1-5 units
AAS,299,Directed Research,1-12 units
AGC,290,Seminar,1 unit
AGC,298,Group Study,1-5 units
